s_no,error_type,username,user_id,osm_location_link,changeset_id,changeset_link,osm_object_type,osm_object_id,time_utc,country,detail
78,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.390759/28.392937,189379805,https://www.openstreetmap.org/changeset/189379805,node,10214450125,2026-09-22T06:00:18Z,Zambia,shared by highway way 609187083 and building way 1116864540
79,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.389868/28.393698,189379805,https://www.openstreetmap.org/changeset/189379805,node,8838692834,2026-09-22T06:00:18Z,Zambia,shared by highway way 954930347 and building way 475814836
80,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.389772/28.393699,189379805,https://www.openstreetmap.org/changeset/189379805,node,8838692835,2026-09-22T06:00:18Z,Zambia,shared by highway way 954930348 and building way 475814836
81,node connected highway and building,Kaitlyn77,21917646,https://www.openstreetmap.org/#map=18/-15.364845/28.396899,189379805,https://www.openstreetmap.org/changeset/189379805,node,13124035999,2026-09-22T06:00:18Z,Zambia,shared by highway way 1083767798 and building way 1427603830
82,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.944216/85.541079,189376458,https://www.openstreetmap.org/changeset/189376458,way,593777776,2026-09-22T03:05:13Z,India,crosses way 1292355670 without a shared junction node
83,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.944367/85.541065,189376458,https://www.openstreetmap.org/changeset/189376458,way,593777776,2026-09-22T03:05:13Z,India,crosses way 1292355668 without a shared junction node
84,wrong tagging,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.940806/85.431878,189376148,https://www.openstreetmap.org/changeset/189376148,node,14205446403,2026-09-22T02:43:56Z,India,'railway=level_crossing' is not a recognised value for 'railway'
85,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.938172/85.487555,189376148,https://www.openstreetmap.org/changeset/189376148,way,1561252500,2026-09-22T02:43:56Z,India,crosses way 1561252504 without a shared junction node
86,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.938260/85.487515,189376148,https://www.openstreetmap.org/changeset/189376148,way,1561252500,2026-09-22T02:43:56Z,India,crosses way 1561252502 without a shared junction node
87,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941398/85.417621,189375921,https://www.openstreetmap.org/changeset/189375921,way,1561251431,2026-09-22T02:28:19Z,India,crosses way 1561252490 without a shared junction node
88,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941125/85.407763,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,crosses way 1561251430 without a shared junction node
89,crossing highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941165/85.410392,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,crosses way 1561251431 without a shared junction node
90,overlapping highway,KahnuSwain,18397551,https://www.openstreetmap.org/#map=18/20.941692/85.395199,189375676,https://www.openstreetmap.org/changeset/189375676,way,1293404451,2026-09-22T02:10:44Z,India,runs alongside existing way 1561251429 for 100% of its length
91,node connected highway and building,ruph,88337,https://www.openstreetmap.org/#map=18/-1.275025/37.141226,189381147,https://www.openstreetmap.org/changeset/189381147,node,13469917351,2026-09-22T06:38:42Z,Kenya,shared by highway way 674622041 and building way 1468652942
92,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.060307/30.378710,189384140,https://www.openstreetmap.org/changeset/189384140,way,1561290086,2026-09-22T07:55:44Z,Rwanda,outline crosses way 1479151519 (95% area overlap)
93,building inside building,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.060244/30.378701,189384140,https://www.openstreetmap.org/changeset/189384140,way,1561290087,2026-09-22T07:55:44Z,Rwanda,fully contained with/containing way 1479151519
94,feature mapped without primary tag,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.047522/30.379159,189382481,https://www.openstreetmap.org/changeset/189382481,node,14205792413,2026-09-22T07:16:20Z,Rwanda,tags present but none are a primary key: ['ford']
95,crossing highway,Divine ciel,24346661,https://www.openstreetmap.org/#map=18/-2.317797/30.175142,189386931,https://www.openstreetmap.org/changeset/189386931,way,1561299969,2026-09-22T08:56:37Z,Rwanda,crosses way 1560992650 without a shared junction node
96,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.056181/30.383428,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299922,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769325 (100% area overlap)
97,building inside building,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.056162/30.383378,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299924,2026-09-22T08:55:59Z,Rwanda,fully contained with/containing way 1478769325
98,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054005/30.383038,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299927,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769343 (60% area overlap)
99,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054034/30.383011,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299928,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769343 (99% area overlap)
100,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054236/30.382741,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299929,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769348 (99% area overlap)
101,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.054168/30.382757,189386904,https://www.openstreetmap.org/changeset/189386904,way,1561299930,2026-09-22T08:55:59Z,Rwanda,outline crosses way 1478769348 (99% area overlap)
102,crossing buildings,Pan_Nug,17280926,https://www.openstreetmap.org/#map=18/43.356431/-81.525981,189386734,https://www.openstreetmap.org/changeset/189386734,way,1561299447,2026-09-22T08:53:00Z,Canada,outline crosses way 1561299583 (98% area overlap)
103,way end node near other way,Mtaalam,24271963,https://www.openstreetmap.org/#map=18/-6.476081/37.413336,189386519,https://www.openstreetmap.org/changeset/189386519,node,14205965385,2026-09-22T08:47:41Z,Tanzania,0.00m from way 1561298455 but not connected to it
104,crossing highway,Mtaalam,24271963,https://www.openstreetmap.org/#map=18/-6.476092/37.412659,189386481,https://www.openstreetmap.org/changeset/189386481,way,1561298885,2026-09-22T08:46:59Z,Tanzania,crosses way 1561298886 without a shared junction node
105,crossing highway,Agnes Petro,23585416,https://www.openstreetmap.org/#map=18/-6.446495/37.434240,189386108,https://www.openstreetmap.org/changeset/189386108,way,1561297342,2026-09-22T08:39:04Z,Tanzania,crosses way 673728209 without a shared junction node
106,way end node near other way,Agnes Petro,23585416,https://www.openstreetmap.org/#map=18/-6.446426/37.434540,189386108,https://www.openstreetmap.org/changeset/189386108,node,14205843498,2026-09-22T08:39:04Z,Tanzania,0.22m from way 673728209 but not connected to it
107,crossing highway,Divine ciel,24346661,https://www.openstreetmap.org/#map=18/-2.313136/30.154884,189385510,https://www.openstreetmap.org/changeset/189385510,way,1560997276,2026-09-22T08:25:22Z,Rwanda,crosses way 1561296047 without a shared junction node
108,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.059416/30.382532,189390362,https://www.openstreetmap.org/changeset/189390362,way,1561310296,2026-09-22T10:03:16Z,Rwanda,outline crosses way 1478764065 (83% area overlap)
109,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.059372/30.382503,189390362,https://www.openstreetmap.org/changeset/189390362,way,1561310298,2026-09-22T10:03:16Z,Rwanda,outline crosses way 1478764065 (70% area overlap)
110,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.055702/30.381298,189389707,https://www.openstreetmap.org/changeset/189389707,way,1561308392,2026-09-22T09:51:56Z,Rwanda,outline crosses way 1478774258 (69% area overlap)
111,crossing buildings,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.055699/30.381377,189389707,https://www.openstreetmap.org/changeset/189389707,way,1561308393,2026-09-22T09:51:56Z,Rwanda,outline crosses way 1478774258 (75% area overlap)
112,building inside building,TeBaMa,6519568,https://www.openstreetmap.org/#map=18/-2.055657/30.381352,189389707,https://www.openstreetmap.org/changeset/189389707,way,1561308394,2026-09-22T09:51:56Z,Rwanda,fully contained with/containing way 1478774258
